,,,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Week Start,Week End,Position,Track Name,Artist,Streams,URL
2/4/22,2/11/22,1,We Don't Talk About Bruno,Carolina Gaitán - La Gaita,9415374,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
2/4/22,2/11/22,2,pushin P (feat. Young Thug),Gunna,6929519,https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb
2/4/22,2/11/22,3,Super Gremlin,Kodak Black,6805093,https://open.spotify.com/track/2bBClS4zzrRd4Aj59NaKSv
2/4/22,2/11/22,4,Heat Waves,Glass Animals,6735018,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2/4/22,2/11/22,5,Cigarettes,Juice WRLD,6152688,https://open.spotify.com/track/42Xba467wgGvYrR2EE6s0i
2/4/22,2/11/22,6,"Surface Pressure - From ""Encanto""/Soundtrack Version",Jessica Darrow,5953050,https://open.spotify.com/track/6K5ph5mq1qprHae3TrgTj5
2/4/22,2/11/22,7,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,5331918,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
2/4/22,2/11/22,8,STAY (with Justin Bieber),The Kid LAROI,5286467,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2/4/22,2/11/22,9,Do We Have A Problem?,Nicki Minaj,5057023,https://open.spotify.com/track/1PNs0uGru3TcrA94kpyGnc
2/4/22,2/11/22,10,abcdefu,GAYLE,4552938,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
2/4/22,2/11/22,11,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,4519297,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
2/4/22,2/11/22,12,I Love You So,The Walters,4503549,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
2/4/22,2/11/22,13,The Family Madrigal,Stephanie Beatriz,4211159,https://open.spotify.com/track/4b1yxSdlumA8N4fEk4UOZp
2/4/22,2/11/22,14,Need to Know,Doja Cat,4093230,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
2/4/22,2/11/22,15,Knife Talk (with 21 Savage ft. Project Pat),Drake,4067840,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
2/4/22,2/11/22,16,Cold Heart - PNAU Remix,Elton John,4044806,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
2/4/22,2/11/22,17,THATS WHAT I WANT,Lil Nas X,4039974,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
